"April","August","December","February","January","July","June","March","May","November","October","September","April.1","August.1","December.1","February.1","January.1","July.1","June.1","March.1","May.1","November.1","October.1","September.1","April.2","August.2","December.2","February.2","January.2","July.2","June.2","March.2","May.2","November.2","October.2","September.2"
1449,1577,1448,1125,1420,1642,1610,1398,1450,1355,1403,1450,935,995,827,742,907,1025,1030,885,910,813,804,866,94,95,90,60,83,96,96,76,77,88,98,99
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12,14,8,7,18,23,13,12,11,9,10,10,3,10,5,6,11,13,11,10,9,4,3,8,8,4,3,0,5,8,1,2,2,3,7
4,8,5,4,6,5,3,5,7,7,4,9,2,1,1,0,2,2,1,3,4,6,1,1,0,0,0,1,2,1,0,0,0,0,1,0
27,19,11,19,19,17,14,15,15,14,14,22,21,19,10,17,17,15,13,13,12,14,14,20,1,0,1,1,1,1,0,2,1,0,0,1
6,2,2,7,0,5,11,9,2,10,3,2,2,2,2,7,0,1,5,3,0,5,1,2,3,0,0,0,0,2,6,5,0,1,0,0
15,13,6,8,16,20,15,13,14,10,7,18,14,13,6,6,13,17,12,11,13,10,5,17,1,0,0,0,1,2,2,1,0,0,1,1
4,4,4,7,3,8,7,7,6,7,5,3,3,2,3,5,3,6,5,3,5,6,4,1,0,1,1,2,0,0,0,1,1,1,1,2
7,11,10,6,8,4,11,5,5,7,9,3,7,9,8,6,8,3,8,5,4,5,6,3,0,0,0,0,0,0,1,0,1,0,0,0
7,3,2,2,2,2,2,2,1,3,4,5,3,3,2,2,1,2,2,1,0,2,3,2,4,0,0,0,1,0,0,1,1,1,1,3
1,3,3,3,1,0,1,4,0,1,0,4,1,3,3,3,1,0,1,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
433,528,523,329,436,488,524,458,477,459,516,506,176,205,182,138,175,198,229,192,203,183,193,209,15,20,14,8,7,8,16,9,13,14,27,22
52,36,54,36,42,33,38,30,30,33,34,37,46,31,49,34,41,32,35,29,27,33,29,35,4,3,2,0,0,0,1,1,0,0,1,1
26,19,36,21,23,21,38,19,21,23,22,29,24,14,34,19,22,18,31,16,17,22,18,23,2,5,2,1,1,3,4,1,4,1,2,4
0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,6,6,4,4,14,7,7,2,7,11,7,5,3,4,3,2,9,4,6,2,4,7,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,1,1,3,0,2,1,1,0,2,1,0,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,63,37,50,68,85,64,57,59,46,51,48,24,33,16,23,36,35,29,28,28,18,18,23,0,2,0,0,2,0,1,0,0,0,1,0
1,0,0,0,1,3,2,0,1,0,1,1,1,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
15,13,23,10,16,19,19,16,17,9,6,12,14,12,18,10,16,17,18,15,13,8,4,10,1,1,3,0,0,1,1,1,2,1,1,2
1,4,1,1,2,0,2,0,4,1,4,0,1,4,0,0,1,0,2,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
50,58,61,58,56,65,58,53,62,46,39,58,32,39,35,41,35,44,38,32,43,33,33,33,2,0,0,1,2,0,3,0,1,1,0,0
225,252,201,166,209,238,216,198,210,186,187,215,169,186,127,138,149,179,151,144,162,125,126,144,28,25,35,14,30,23,23,20,20,23,22,19
306,329,263,243,308,392,359,328,316,260,303,288,256,278,216,195,258,313,307,277,267,205,241,233,19,23,21,24,26,40,26,30,24,29,31,31
7,7,6,6,4,5,5,10,4,7,5,4,6,7,6,5,3,5,4,8,4,7,5,4,0,0,0,1,1,0,1,1,0,0,0,0
96,85,97,73,91,115,98,85,99,111,93,89,56,50,41,36,45,57,58,40,41,49,39,43,2,4,3,2,4,4,2,1,5,8,5,4
0,3,1,1,0,1,0,0,0,1,2,1,0,2,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,2,0,1,2,0,1,0,3,2,0,0,0,1,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,4,7,2,2,2,3,4,2,2,2,1,1,3,3,2,2,1,2,4,1,2,0,0,0,0,2,0,0,0,0,0,0,0
82,95,76,55,90,90,79,59,77,92,71,69,58,71,48,43,68,64,51,42,43,60,46,44,4,2,3,2,1,4,1,1,2,6,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
