"state","female","male","unknown"
"Alabama",0,2,0
"Alaska",21,54,0
"Arizona",112,345,1
"Arkansas",73,178,1
"California",370,1620,3
"Colorado",56,177,0
"Connecticut",20,86,0
"Delaware",8,53,0
"District of Columbia",18,107,0
"Florida",280,950,2
"Georgia",143,560,3
"Hawaii",12,30,0
"Idaho",12,16,0
"Illinois",118,718,0
"Indiana",74,314,0
"Iowa",21,82,1
"Kansas",32,103,0
"Kentucky",62,216,1
"Louisiana",99,510,1
"Maine",9,26,0
"Maryland",59,433,0
"Massachusetts",35,135,0
"Michigan",115,474,3
"Minnesota",34,99,0
"Mississippi",31,126,2
"Missouri",108,530,0
"Montana",14,27,0
"Nebraska",13,33,0
"Nevada",87,210,4
"New Hampshire",5,10,0
"New Jersey",64,281,0
"New Mexico",30,112,0
"New York",120,450,1
"North Carolina",122,455,1
"North Dakota",14,8,0
"Ohio",157,528,8
"Oklahoma",52,214,6
"Oregon",27,82,1
"Pennsylvania",146,640,4
"Rhodes Island",6,14,0
"South Carolina",86,323,0
"South Dakota",7,17,0
"Tennessee",110,446,1
"Texas",340,1164,4
"Utah",30,51,0
"Vermont",8,6,0
"Virginia",127,336,0
"Washington",68,170,1
"West Virginia",19,60,0
"Wisconsin",46,176,0
"Wyoming",4,10,0
