"relationship","weapon","deaths","weapon_n","relationship_n"
"Acquaintance","Asphyxiation - includes death by gas",4,1,1
"Acquaintance","Blunt object - hammer, club, etc",2,2,1
"Acquaintance","Drowning",0,3,1
"Acquaintance","Explosives",0,4,1
"Acquaintance","Fire",8,5,1
"Acquaintance","Firearm, type not stated",76,6,1
"Acquaintance","Handgun - pistol, revolver, etc",214,7,1
"Acquaintance","Knife or cutting instrument",38,8,1
"Acquaintance","Narcotics or drugs, sleeping pills",3,9,1
"Acquaintance","Other gun",4,10,1
"Acquaintance","Other or type unknown",20,11,1
"Acquaintance","Personal weapons, includes beating",7,12,1
"Acquaintance","Poison - does not include gas",0,13,1
"Acquaintance","Pushed or thrown out window",0,14,1
"Acquaintance","Rifle",11,15,1
"Acquaintance","Shotgun",10,16,1
"Acquaintance","Strangulation - hanging",0,17,1
"Boyfriend","Asphyxiation - includes death by gas",0,1,2
"Boyfriend","Blunt object - hammer, club, etc",0,2,2
"Boyfriend","Drowning",0,3,2
"Boyfriend","Explosives",0,4,2
"Boyfriend","Fire",0,5,2
"Boyfriend","Firearm, type not stated",1,6,2
"Boyfriend","Handgun - pistol, revolver, etc",4,7,2
"Boyfriend","Knife or cutting instrument",2,8,2
"Boyfriend","Narcotics or drugs, sleeping pills",0,9,2
"Boyfriend","Other gun",0,10,2
"Boyfriend","Other or type unknown",0,11,2
"Boyfriend","Personal weapons, includes beating",0,12,2
"Boyfriend","Poison - does not include gas",0,13,2
"Boyfriend","Pushed or thrown out window",0,14,2
"Boyfriend","Rifle",0,15,2
"Boyfriend","Shotgun",0,16,2
"Boyfriend","Strangulation - hanging",0,17,2
"Brother","Asphyxiation - includes death by gas",0,1,3
"Brother","Blunt object - hammer, club, etc",2,2,3
"Brother","Drowning",0,3,3
"Brother","Explosives",0,4,3
"Brother","Fire",0,5,3
"Brother","Firearm, type not stated",1,6,3
"Brother","Handgun - pistol, revolver, etc",9,7,3
"Brother","Knife or cutting instrument",4,8,3
"Brother","Narcotics or drugs, sleeping pills",0,9,3
"Brother","Other gun",0,10,3
"Brother","Other or type unknown",0,11,3
"Brother","Personal weapons, includes beating",0,12,3
"Brother","Poison - does not include gas",0,13,3
"Brother","Pushed or thrown out window",0,14,3
"Brother","Rifle",0,15,3
"Brother","Shotgun",2,16,3
"Brother","Strangulation - hanging",0,17,3
"Common-law husband","Asphyxiation - includes death by gas",0,1,4
"Common-law husband","Blunt object - hammer, club, etc",0,2,4
"Common-law husband","Drowning",0,3,4
"Common-law husband","Explosives",0,4,4
"Common-law husband","Fire",0,5,4
"Common-law husband","Firearm, type not stated",0,6,4
"Common-law husband","Handgun - pistol, revolver, etc",0,7,4
"Common-law husband","Knife or cutting instrument",0,8,4
"Common-law husband","Narcotics or drugs, sleeping pills",0,9,4
"Common-law husband","Other gun",0,10,4
"Common-law husband","Other or type unknown",0,11,4
"Common-law husband","Personal weapons, includes beating",0,12,4
"Common-law husband","Poison - does not include gas",0,13,4
"Common-law husband","Pushed or thrown out window",0,14,4
"Common-law husband","Rifle",0,15,4
"Common-law husband","Shotgun",0,16,4
"Common-law husband","Strangulation - hanging",0,17,4
"Common-law wife","Asphyxiation - includes death by gas",0,1,5
"Common-law wife","Blunt object - hammer, club, etc",0,2,5
"Common-law wife","Drowning",0,3,5
"Common-law wife","Explosives",0,4,5
"Common-law wife","Fire",0,5,5
"Common-law wife","Firearm, type not stated",0,6,5
"Common-law wife","Handgun - pistol, revolver, etc",1,7,5
"Common-law wife","Knife or cutting instrument",0,8,5
"Common-law wife","Narcotics or drugs, sleeping pills",0,9,5
"Common-law wife","Other gun",0,10,5
"Common-law wife","Other or type unknown",0,11,5
"Common-law wife","Personal weapons, includes beating",0,12,5
"Common-law wife","Poison - does not include gas",0,13,5
"Common-law wife","Pushed or thrown out window",0,14,5
"Common-law wife","Rifle",0,15,5
"Common-law wife","Shotgun",0,16,5
"Common-law wife","Strangulation - hanging",0,17,5
"Daughter","Asphyxiation - includes death by gas",2,1,6
"Daughter","Blunt object - hammer, club, etc",4,2,6
"Daughter","Drowning",1,3,6
"Daughter","Explosives",1,4,6
"Daughter","Fire",0,5,6
"Daughter","Firearm, type not stated",14,6,6
"Daughter","Handgun - pistol, revolver, etc",16,7,6
"Daughter","Knife or cutting instrument",4,8,6
"Daughter","Narcotics or drugs, sleeping pills",3,9,6
"Daughter","Other gun",2,10,6
"Daughter","Other or type unknown",26,11,6
